track_name,track_add_date,track_add_time,multiple_artists_bool,name_of_artists,album_name,album_release_date,album_release_date_precision,number_of_tracks_in_album,position_in_playlist,track_duration_ms,track_popularity,track_explicit,images_path,data_collection_date
I'm Good (Blue),4/2/23,9:59:23,TRUE,"['David Guetta', 'Bebe Rexha']",I'm Good (Blue),8/26/22,day,2,22,175238,94,TRUE,./images/im_good_blue_david_guetta.jpg,4/2/23
Coco Chanel,4/2/23,9:59:23,TRUE,"['Eladio Carrion', 'Bad Bunny']",3MEN2 KBRN,3/17/23,day,18,23,208125,89,TRUE,./images/coco_chanel_eladio_carrion.jpg,4/2/23
Die For You,4/2/23,9:59:23,FALSE,['The Weeknd'],Starboy,11/24/16,day,18,24,260253,90,FALSE,./images/die_for_you_the_weeknd.jpg,4/2/23
Hey Mor,4/2/23,9:59:23,TRUE,"['Ozuna', 'Feid']",OzuTochi,10/7/22,day,18,25,196600,91,FALSE,./images/hey_mor_ozuna.jpg,4/2/23
Last Night,4/2/23,9:59:23,FALSE,['Morgan Wallen'],One Thing At A Time,3/3/23,day,36,26,163854,86,TRUE,./images/last_night_morgan_wallen.jpg,4/2/23
"Quevedo: Bzrp Music Sessions, Vol. 52",4/2/23,9:59:23,TRUE,"['Bizarrap', 'Quevedo']","Quevedo: Bzrp Music Sessions, Vol. 52",7/6/22,day,1,27,198937,93,FALSE,./images/quevedo_bzrp_music_sessions_vol_52_bizarrap.jpg,4/2/23
Here With Me,4/2/23,9:59:23,FALSE,['d4vd'],Here With Me,9/22/22,day,1,28,242484,93,FALSE,./images/here_with_me_d4vd.jpg,4/2/23
El Azul,4/2/23,9:59:23,TRUE,"['Junior H', 'Peso Pluma']",El Azul,2/10/23,day,1,29,187225,88,TRUE,./images/el_azul_junior_h.jpg,4/2/23
"Arcángel: Bzrp Music Sessions, Vol. 54",4/2/23,9:59:23,TRUE,"['Bizarrap', 'Arcángel']","Arcángel: Bzrp Music Sessions, Vol. 54",3/22/23,day,1,30,223019,86,FALSE,./images/arcngel_bzrp_music_sessions_vol_54_bizarrap.jpg,4/2/23
Until I Found You (with Em Beihold) - Em Beihold Version,4/2/23,9:59:23,TRUE,"['Stephen Sanchez', 'Em Beihold']",Until I Found You (Em Beihold Version),4/22/22,day,1,31,176440,93,FALSE,./images/until_i_found_you_with_em_beihold_em_beihold_version_stephen_sanchez.jpg,4/2/23
